id,pop,,,,,
FT543_Zluteus,NE,,,,,
DMNS8635_Zluteus,NE,2,,,,
DMNS8633_Zluteus,NE,3,,,,
DMNS8636_Zluteus,NE,4,,,,
FT605_Zluteus,NE,5,,,,
MSB325193_Zluteus,NE,6,,,,
FT604_Zluteus,NE,7,,,,
FT1737FT1735_Zluteus,NE,8,,,,
MSB325322_Zluteus,NW,9,,,,
MSB154917_Zluteus,NW,10,,,,
MSB155117_Zluteus,NW,11,,,,
MSB325321_Zluteus,NW,12,,,,
FT353_Zluteus,NW,13,,,,
FT357_Zluteus,NW,14,,,,
MSB324205_Zluteus,NW,15,,,,
MSB56984_Zluteus,NW,16,,,,
MSB213790_Zluteus,rio,17,,,,
MSB213792_Zluteus,rio,18,,,,
MSB58368_Zluteus,rio,19,,,,
MSB213791_Zluteus,rio,20,,,,
MSB41226_Zluteus,rio,21,,,,
MSB41228_Zluteus,rio,22,,,,
MSB41235_Zluteus,rio,23,,,,
MSB41230_Zluteus,rio,24,,,,
MSB41064_Zluteus,sacramento,25,,,,
MSB41060_Zluteus,sacramento,26,,,,
MSB41062_Zluteus,sacramento,27,,,,
FT358_Zluteus,sacramento,28,,,,
FT1101_Zluteus,wht,29,,,,
MSB40952_Zluteus,wht,30,,,,
FT1105_Zluteus,wht,31,,,,
MSB324198_Zluteus,wht,32,,,,
MSB91675_Zluteus,wht,33,,,,
MSB91675XXX1_Zluteus,wht,34,,,,
MSB91675XXX2_Zluteus,wht,35,,,,
MSB89194XXX_Zluteus,wht,36,,,,
MSB89194_Zluteus,wht,37,,,,
MSB213793_Zluteus,rio,38,,,,
,,,,38,,
,,,,,,